GeneSymbol	A21_05_C3_P5_690140	A21_05_C3_P5_868918	A21_05_C3_P5_530187	A21_05_C3_P5_474185
AC253572.2	0.000	0.000	0.000	0.000
ACAT2	0.335	0.000	0.417	0.000
ACBD7	0.000	0.000	0.000	0.000
ACKR3	0.000	0.000	0.000	0.000
ACKR4	0.000	0.000	0.000	0.000
ACLY	0.335	0.372	0.710	1.387
ACP5	0.000	0.000	0.000	0.000
ACSL4	1.095	0.372	1.121	0.560
ACTA2	0.585	0.855	1.121	1.387
ACTB	3.229	3.810	3.450	3.893
ACTBL2	0.000	0.000	0.000	0.000
ACTN1	1.095	1.309	0.417	1.179
ACVR1C	0.000	0.000	0.000	0.000
ACVR2A	0.000	0.000	0.000	0.000
ADA	0.585	0.000	0.710	0.000
ADAM12	0.785	1.989	1.732	1.947
ADAM19	0.335	0.000	0.417	0.560
ADAMTS1	0.000	0.000	1.276	0.917
ADAMTS2	1.431	0.372	0.710	0.560
ADAMTS5	0.000	0.000	0.000	0.000
ADAMTS8	0.000	0.000	0.000	0.000
ADAMTS9-AS2	0.000	0.000	0.000	0.000
ADAMTSL4	0.000	0.000	0.417	0.917
ADAP2	0.000	0.000	0.000	0.000
ADCY1	0.000	0.000	0.000	0.000
ADCY2	0.000	0.000	0.000	0.000
ADCYAP1R1	0.000	0.000	0.000	0.000
ADGRG6	0.000	0.000	0.000	0.000
ADH1B	0.000	0.000	0.000	0.000
ADH1C	0.000	0.000	0.000	0.000
ADIRF	0.585	0.000	0.417	0.000
ADM	0.952	0.000	1.276	1.179
ADM2	0.000	0.000	0.000	0.000
ADRA2A	0.000	0.000	0.000	0.000
AHR	0.000	0.000	1.121	0.560
AIM2	0.000	0.000	0.000	0.000
AK4	0.000	0.372	0.000	0.000
AK5	0.000	0.000	0.000	0.000
AKAP12	0.335	0.000	0.710	1.179
AKAP6	0.000	0.000	0.000	0.000
AKR1B10	0.000	0.000	0.000	0.000
AKR1C2	0.335	0.000	0.710	0.000
AL031777.3	0.000	0.000	0.000	0.000
AL109918.1	0.000	0.642	0.000	0.000
AL136131.3	0.000	0.000	0.000	0.000
AL139393.3	0.000	0.372	0.000	0.000
AL158063.1	0.000	0.000	0.000	0.000
AL353726.1	0.000	0.000	0.000	0.000
AL353898.3	0.000	0.000	0.000	0.000
AL356056.1	0.000	0.000	0.000	0.000
AL391056.1	0.000	0.000	0.000	0.000
AL662907.1	0.000	0.000	0.000	0.000
AL672207.1	0.000	0.000	0.000	0.000
ALCAM	0.785	0.000	0.000	0.000
ALDH1A1	0.000	0.000	0.000	0.000
ALDH1A2	0.000	0.000	0.000	0.000
ALDH1A3	0.952	0.372	0.936	0.000
ALPL	0.000	0.000	0.000	0.000
ALYREF	1.220	0.372	0.000	0.000
AMD1	0.000	0.000	0.710	0.000
AMOTL2	0.000	0.000	0.000	0.560
ANGPT1	0.000	0.000	0.000	0.000
ANGPT2	0.000	0.000	0.000	0.000
ANGPTL1	0.000	0.000	0.000	0.000
ANGPTL2	0.785	1.030	1.636	0.917
ANGPTL4	0.335	0.000	0.000	0.000
ANK3	0.000	0.000	0.000	0.000
ANKH	0.335	0.000	0.710	0.917
ANKRD33	0.000	0.000	0.000	0.000
ANKRD36C	0.000	0.000	0.000	0.560
ANKRD37	0.000	0.000	0.000	0.000
ANKRD50	0.000	0.000	0.710	0.000
ANLN	0.000	0.000	0.000	0.000
ANO1	0.000	0.000	0.000	0.000
ANO4	0.000	0.000	0.000	0.000
ANOS1	0.000	0.000	0.000	0.000
ANP32B	0.785	1.179	1.411	1.833
ANP32E	0.585	0.372	0.000	0.000
ANTXR1	0.335	0.372	1.121	0.560
ANXA1	1.941	1.309	1.121	1.705
ANXA10	0.000	0.000	0.417	0.560
AP001033.2	0.000	0.000	0.000	0.000
AP001148.1	0.000	0.000	0.000	0.000
AP001528.2	0.000	0.000	0.000	0.000
APBB1IP	0.952	0.372	0.936	0.000
APCDD1	0.000	0.000	0.000	0.000
APCDD1L	1.095	0.372	0.000	0.560
APOBEC3A	0.000	0.000	0.000	0.000
APOD	0.000	1.309	0.417	0.000
APOE	0.000	0.000	0.000	0.000
APOL1	0.585	0.642	1.121	1.179
APOL4	0.000	0.000	1.121	0.000
AQP1	0.000	0.000	0.000	0.000
AR	0.335	0.000	0.000	0.000
AREG	0.000	0.000	0.000	0.000
ARHGAP11A	0.000	0.000	0.000	0.000
ARHGAP18	0.785	0.642	0.710	0.560
ARHGAP20	0.000	0.000	0.000	0.000
ARHGAP28	0.000	0.000	0.000	0.000
ARHGAP29	0.585	0.372	0.936	0.000
ARHGDIB	0.000	0.000	0.000	0.000
ARHGEF39	0.000	0.000	0.000	0.000
ARID4A	0.000	0.372	0.000	0.000
ARID5B	0.585	0.000	1.411	0.560
ARL4C	0.785	0.000	2.169	1.947
ARL6IP1	0.785	0.855	0.936	0.000
ASF1B	0.000	0.000	0.000	0.000
ASPM	0.000	0.000	0.000	0.000
ASPN	0.000	0.000	0.000	0.917
ASXL3	0.000	0.000	0.000	0.000
ATAD2	0.000	0.372	0.000	0.000
ATAD3C	0.000	0.000	0.000	0.000
ATAD5	0.000	0.000	0.000	0.917
ATF5	0.000	0.000	0.000	0.000
ATP1B1	0.335	0.000	0.000	0.000
ATP5MC1	1.753	1.030	1.121	0.917
ATP8A2	0.000	0.000	0.000	0.000
AURKA	0.000	0.000	0.000	0.000
AURKB	0.000	0.000	0.000	0.000
B3GALT2	0.000	0.000	0.000	0.000
B4GALT1	1.220	2.257	1.636	1.559
BAALC	0.585	0.372	0.710	0.560
BACH2	0.000	0.000	0.000	0.000
BAG2	0.000	0.000	0.000	0.000
BARD1	0.000	0.000	0.000	0.000
BASP1	1.605	1.925	3.122	0.917
BBC3	0.000	0.000	0.000	0.000
BCAT1	0.952	0.000	1.276	0.000
BCHE	0.000	0.000	0.000	0.000
BCL11B	0.000	0.000	0.000	0.000
BCL2A1	0.000	0.000	0.000	0.000
BCL2L11	0.000	0.000	0.417	0.000
BCL2L12	0.335	0.000	0.000	0.000
BCL2L15	0.000	0.000	0.000	0.000
BCL6B	0.000	0.000	0.000	0.000
BCO2	0.000	0.000	0.000	0.000
BCYRN1	0.585	1.706	1.276	1.833
BDKRB1	0.335	0.000	0.000	0.000
BDKRB2	0.335	0.855	0.710	1.179
BDNF	0.000	0.000	0.000	0.000
BDP1	0.335	0.642	0.000	0.560
BEND7	0.000	0.000	0.000	0.000
BEX1	0.000	0.000	0.000	0.000
BGN	0.000	0.855	1.121	1.559
BHLHE40	0.335	0.642	0.710	0.000
BHLHE41	0.000	0.000	0.000	0.000
BIRC5	0.000	0.000	0.000	0.000
BLM	0.000	0.000	0.000	0.000
BMP2	0.000	0.372	0.000	0.000
BMP4	0.000	0.000	0.936	0.000
BORA	0.000	0.000	0.000	0.000
BRCA1	0.000	0.000	0.000	0.000
BRCA2	0.000	0.000	0.000	0.000
BRD8	0.335	0.372	0.417	0.000
BRI3BP	0.000	0.000	0.000	0.000
BRINP1	0.335	0.000	0.000	0.000
BRIP1	0.000	0.000	0.000	0.000
BRIX1	0.000	0.000	0.000	0.000
BST2	0.000	0.000	0.000	0.000
BTG1	0.952	0.642	0.000	0.000
BTG2	0.585	0.000	0.000	0.000
BUB1	0.000	0.000	0.000	0.000
BUB1B	0.000	0.000	0.000	0.000
BUB3	0.585	0.855	0.000	0.560
BX323043.1	0.000	0.000	0.000	0.000
BX323046.2	0.000	0.000	0.000	0.000
C11orf96	0.000	0.000	0.000	0.000
C12orf75	1.220	1.925	0.417	0.560
C1GALT1	0.785	0.372	0.936	0.560
C1QTNF1	0.335	0.372	0.417	0.000
C1QTNF3	0.000	0.000	0.000	0.000
C1QTNF7	0.000	0.000	0.000	0.000
C1S	1.331	1.620	1.530	2.048
C1orf115	0.000	0.000	0.000	0.000
C1orf21	0.000	0.000	0.710	0.000
C1orf226	0.000	0.000	0.000	0.000
C21orf58	0.000	0.000	0.000	0.000
C2orf88	0.335	0.372	0.417	0.000
C7	0.000	0.000	0.000	0.000
C8orf89	0.000	0.000	0.000	0.000
CA12	0.785	0.000	1.530	0.560
CABLES1	0.000	0.000	0.000	0.000
CACNG8	0.000	0.000	0.000	0.000
CACYBP	0.585	0.642	0.000	0.917
CADPS	0.000	0.000	0.000	0.000
CALD1	1.941	2.469	2.169	2.945
CALM2	0.952	1.857	1.121	1.179
CALN1	0.000	0.000	0.000	0.000
CALR	3.320	3.301	2.670	2.863
CAMK2N1	0.335	0.372	0.000	0.000
CAPN6	0.000	0.000	0.000	0.000
CASS4	0.000	0.000	0.000	0.000
CAV1	2.317	2.543	2.108	2.773
CAV2	0.335	0.000	0.417	0.000
CAVIN2	0.335	0.000	0.000	0.000
CBX5	0.000	0.642	0.417	0.917
CCBE1	0.000	0.000	0.000	0.000
CCDC110	0.000	0.000	0.417	0.000
CCDC144B	0.000	0.000	0.000	0.000
CCDC15	0.335	0.000	0.000	0.000
CCDC152	0.000	0.000	0.000	0.000
CCDC170	0.000	0.372	0.000	0.000
CCDC173	0.000	0.000	0.000	0.000
CCDC18	0.000	0.000	0.417	0.000
CCDC34	0.335	0.000	0.417	0.000
CCDC80	3.276	2.792	3.805	3.908
CCDC86	0.335	0.000	0.417	0.560
CCL11	0.000	0.000	0.000	0.000
CCL2	0.000	0.372	1.411	0.560
CCL20	0.000	0.000	0.000	0.000
CCL7	0.000	0.000	0.000	0.000
CCL8	0.000	0.000	0.000	0.000
CCN1	0.000	0.372	2.043	2.376
CCN2	0.585	0.000	2.705	2.443
CCN3	0.000	0.000	0.000	0.000
CCN4	0.000	0.000	0.000	0.000
CCN5	0.335	1.706	0.000	0.000
CCNA1	0.000	0.000	0.000	0.000
CCNA2	0.000	0.000	0.000	0.000
CCNB1	0.000	0.000	0.000	0.000
CCNB2	0.000	0.000	0.000	0.000
CCND1	1.522	0.000	0.710	0.917
CCND2	0.585	0.855	0.000	0.000
CCNE2	0.000	0.000	0.000	0.000
CCNF	0.000	0.000	0.000	0.000
CCNJL	0.000	0.000	0.000	0.000
CCNT2-AS1	0.000	0.000	0.000	0.000
CCR1	0.000	0.000	0.000	0.000
CCT2	1.095	0.855	0.936	0.000
CCT5	0.000	0.000	0.417	0.917
CD36	0.000	0.000	0.000	0.000
CD3EAP	0.335	0.000	0.000	0.000
CD4	0.000	0.000	0.000	0.000
CD7	0.000	0.000	0.000	0.000
CD82	0.785	1.030	0.417	0.000
CDA	0.000	0.000	0.000	0.000
CDC20	0.000	0.000	0.000	0.000
CDC25A	0.000	0.000	0.000	0.000
CDC25B	0.335	0.000	0.936	0.000
CDC25C	0.000	0.000	0.000	0.000
CDC42EP3	0.000	0.000	0.417	0.000
CDC42EP4	0.335	0.000	0.000	0.000
CDC45	0.000	0.000	0.000	0.000
CDC6	0.000	0.000	0.000	0.000
CDCA2	0.000	0.000	0.000	0.000
CDCA3	0.000	0.000	0.000	0.000
CDCA4	0.000	0.000	0.000	0.000
CDCA5	0.000	0.000	0.000	0.000
CDCA7	0.000	0.000	0.417	0.000
CDCA7L	0.000	0.372	0.417	0.000
CDCA8	0.000	0.000	0.000	0.000
CDCP1	0.335	0.372	0.000	0.000
CDH11	0.585	2.049	1.819	1.387
CDH13	0.000	0.000	0.000	0.000
CDH18	0.000	0.000	0.000	0.000
CDH2	0.335	0.372	0.710	0.560
CDH23	0.000	0.000	0.000	0.000
CDH4	0.000	0.000	0.000	0.000
CDK1	0.000	0.000	0.000	0.000
CDK2	0.000	0.000	0.000	0.000
CDK5RAP2	0.335	0.000	0.000	0.000
CDK6	0.000	0.372	0.000	0.000
CDKN1A	3.416	1.030	2.381	0.560
CDKN1C	0.000	0.000	0.000	0.000
CDKN2A	0.952	0.642	0.000	0.000
CDKN2B	0.335	0.000	0.000	0.000
CDKN2C	0.000	0.372	0.000	0.560
CDKN3	0.000	0.000	0.000	0.000
CDT1	0.000	0.000	0.000	0.000
CEBPB	1.820	1.030	1.121	0.000
CEBPD	0.000	1.030	1.732	0.560
CELF2	0.335	0.855	0.417	0.917
CEMIP	0.335	0.372	0.000	0.000
CEMIP2	0.585	0.855	0.710	0.000
CENPA	0.000	0.000	0.000	0.000
CENPE	0.000	0.000	0.000	0.000
CENPF	0.000	0.000	0.000	0.000
CENPH	0.000	0.000	0.417	0.000
CENPI	0.000	0.000	0.000	0.000
CENPJ	0.000	0.372	0.000	0.000
CENPK	0.000	0.000	0.000	0.000
CENPM	0.000	0.000	0.000	0.000
CENPO	0.000	0.000	0.000	0.000
CENPQ	0.000	0.000	0.000	0.000
CENPU	0.000	0.000	0.000	0.000
CENPV	0.000	0.000	0.000	0.000
CENPW	0.000	0.000	0.000	0.000
CEP128	0.000	0.000	0.417	0.000
CEP135	0.000	0.000	0.000	0.000
CEP170	0.585	0.642	0.710	1.179
CEP290	0.785	0.642	0.000	0.000
CEP55	0.000	0.000	0.000	0.000
CEP78	0.000	0.000	0.000	0.000
CFH	0.335	0.372	0.417	0.000
CFHR1	0.000	0.000	0.000	0.000
CFI	0.000	0.000	0.417	0.000
CH25H	0.000	1.309	0.936	0.917
CHAC1	0.000	0.000	0.000	0.000
CHAF1A	0.000	0.000	0.000	0.000
CHAF1B	0.335	0.000	0.000	0.000
CHGA	0.000	0.000	0.000	0.000
CHI3L1	0.000	0.000	0.000	0.000
CHL1	0.000	0.000	0.000	0.000
CHN1	0.785	1.179	1.121	0.917
CHRDL1	0.000	0.000	0.000	0.000
CHRNA1	0.000	0.000	0.000	0.000
CHRNA3	0.000	0.000	0.000	0.000
CHST1	0.000	0.000	0.000	0.000
CHST15	0.000	0.000	0.000	0.000
CILP	0.000	0.372	0.417	0.000
CILP2	0.000	0.000	0.000	0.000
CIP2A	0.000	0.000	0.000	0.000
CIT	0.585	0.000	0.000	0.000
CITED2	0.335	0.372	0.000	0.000
CITED4	0.335	0.000	0.000	0.000
CKAP2	0.335	0.000	0.710	0.560
CKAP2L	0.000	0.000	0.000	0.000
CKAP4	1.941	2.506	2.595	2.303
CKAP5	0.335	0.000	0.936	0.917
CKB	0.000	0.000	0.000	0.000
CKS1B	0.000	0.000	0.000	0.000
CKS2	0.000	0.642	0.710	0.000
CLCA2	0.000	0.000	0.000	0.000
CLDN11	1.820	3.014	2.169	3.249
CLDN14	0.000	0.000	0.000	0.000
CLEC2B	0.000	0.372	0.417	0.000
CLGN	0.000	0.000	0.936	0.000
CLIC2	0.000	0.000	0.000	0.000
CLOCK	0.000	0.000	0.417	0.000
CLSPN	0.000	0.000	0.000	0.000
CLSTN2	0.000	0.000	0.000	0.000
CLU	3.836	3.177	2.472	2.506
CMIP	0.952	0.000	0.000	0.560
CMPK2	0.000	0.000	0.000	0.000
CMSS1	0.000	0.000	0.000	0.000
CMYA5	0.000	0.000	0.000	0.000
CNIH3	0.000	0.372	0.417	0.000
CNN3	1.682	1.179	1.276	0.560
CNTN1	0.000	0.000	0.000	0.000
CNTN3	0.000	0.000	0.000	0.000
CNTNAP3B	0.000	0.000	0.000	0.000
CNTRL	0.000	0.000	0.000	0.000
COBLL1	0.335	0.000	0.000	0.000
COL10A1	0.000	0.372	0.936	0.000
COL11A1	0.000	0.000	0.417	0.560
COL12A1	0.335	0.000	1.411	0.000
COL14A1	1.095	1.030	1.636	0.917
COL15A1	0.000	0.000	0.000	0.000
COL1A1	4.629	5.741	5.274	5.801
COL1A2	4.150	4.993	5.013	4.891
COL22A1	0.000	0.000	0.000	0.000
COL25A1	0.000	0.000	0.000	0.000
COL3A1	3.765	4.517	4.527	4.706
COL4A1	0.000	0.000	0.000	0.000
COL4A2	0.335	0.372	0.000	0.000
COL4A4	0.000	0.000	0.000	0.000
COL4A5	0.000	0.000	0.000	0.000
COL5A1	1.682	2.430	2.739	2.443
COL5A3	0.335	0.000	0.417	0.000
COL6A3	2.236	2.706	3.450	3.549
COL6A6	0.000	0.000	0.000	0.000
COL8A1	0.585	0.000	1.411	0.000
COTL1	0.952	0.372	0.417	0.917
COX7A1	0.785	1.030	0.710	0.000
CPB1	0.000	0.000	0.000	0.000
CPE	0.000	0.000	0.417	0.000
CPED1	0.000	0.000	0.000	0.560
CPM	0.000	0.000	1.121	0.917
CPXM1	0.000	0.000	1.121	0.000
CPXM2	0.000	0.000	0.000	0.000
CR391992.1	0.000	0.000	0.000	0.000
CRABP2	2.317	2.897	2.043	2.225
CREB5	0.000	0.000	0.000	0.000
CREBRF	0.000	0.372	0.417	0.560
CREG1	0.000	0.372	0.417	0.000
CRIM1	0.000	0.372	0.000	0.000
CRIP2	0.000	0.000	0.417	0.000
CRISPLD2	0.000	0.372	0.417	0.000
CRYBG1	0.335	0.000	0.000	0.000
CSE1L	0.335	0.000	0.417	0.000
CSGALNACT1	0.000	0.000	0.000	0.000
CSRNP3	0.000	0.000	0.000	0.000
CSRP1	0.335	0.372	0.936	0.560
CSRP2	0.000	0.000	0.000	0.000
CSTA	0.335	0.000	0.000	0.000
CT75	0.000	0.000	0.000	0.000
CTHRC1	1.941	1.706	1.411	0.000
CTNNAL1	0.335	0.000	0.417	0.000
CTPS1	0.335	0.000	0.000	0.000
CTSC	1.220	1.030	0.936	0.917
CTSH	0.000	0.000	0.000	0.000
CTSK	2.147	2.390	2.281	1.559
CTSL	0.585	2.105	2.381	1.179
CTSO	0.000	0.372	0.710	0.000
CXCL1	0.000	0.000	0.000	0.000
CXCL12	0.335	0.642	2.108	0.917
CXCL14	0.000	0.000	0.000	0.000
CXCL2	0.000	0.000	0.710	0.000
CXCL3	0.000	0.000	0.000	0.000
CXCL5	0.000	0.000	0.000	0.000
CXCL6	0.000	0.000	0.710	0.000
CXCL8	0.000	0.000	0.000	0.000
CXXC5	0.335	0.372	0.000	0.000
CYB561	0.952	0.642	0.000	0.000
CYB561A3	0.785	1.030	0.000	0.560
CYCS	1.095	1.309	0.417	0.560
CYGB	0.000	0.000	0.000	0.000
CYP1B1	0.335	1.030	2.108	2.303
CYP26B1	0.585	0.000	0.000	0.000
CYP2D7	0.000	0.000	0.000	0.000
CYP46A1	0.000	0.000	0.000	0.000
CYP7B1	0.000	0.000	0.000	0.000
CYTL1	0.000	0.000	0.417	0.000
DAAM2	0.335	0.000	0.000	0.000
DAB1	0.000	0.000	0.000	0.000
DAB2	1.331	1.784	1.530	1.387
DACT1	0.000	0.000	0.000	0.000
DAPK1	0.000	0.000	0.000	0.000
DBF4	0.000	0.000	0.000	0.000
DCBLD2	0.785	1.309	1.121	0.917
DCLK1	0.000	0.642	0.000	0.917
DCN	2.049	2.611	2.108	3.057
DDAH1	0.000	0.642	0.000	0.560
DDIAS	0.000	0.000	0.000	0.000
DDIT3	0.000	0.000	0.000	0.000
DDIT4	0.335	0.642	0.000	0.560
DDIT4L	0.000	0.000	0.000	0.000
DDX10	0.000	0.000	0.000	0.000
DDX21	0.785	0.372	0.417	0.917
DDX58	0.000	0.000	0.000	0.560
DEK	0.000	0.372	0.417	1.179
DEPDC1	0.000	0.000	0.000	0.000
DEPDC1B	0.000	0.000	0.000	0.000
DEPTOR	0.000	0.642	0.000	0.000
DGKH	0.000	0.000	0.936	0.000
DHCR24	0.000	0.000	0.000	0.917
DHFR	0.335	0.000	0.000	0.000
DHX9	0.335	0.000	0.000	0.560
DIAPH3	0.000	0.000	0.000	0.000
DIO2	0.000	0.000	0.000	0.000
DIRAS3	0.000	0.642	0.000	0.000
DIRC1	0.000	0.000	0.000	0.000
DKC1	0.785	0.000	0.000	0.000
DKK1	0.000	0.000	0.000	0.000
DKK2	0.000	0.000	0.417	0.000
DLGAP5	0.000	0.000	0.000	0.000
DNAJB4	0.335	0.642	0.710	0.560
DNAJB9	0.335	0.372	0.417	0.000
DNAJC9	0.000	0.372	0.000	0.000
DNER	0.000	0.000	0.000	0.000
DNM3OS	0.335	0.855	1.276	1.705
DNMT1	0.785	0.855	0.417	0.000
DPP4	0.952	1.706	1.530	0.917
DRAIC	0.000	0.000	0.000	0.000
DRAXIN	0.000	0.000	0.000	0.000
DSEL	0.000	0.642	1.121	0.000
DSG2	1.095	0.000	0.710	0.000
DSN1	0.000	0.000	0.000	0.000
DSP	0.335	0.642	0.000	0.560
DTL	0.000	0.000	0.000	0.000
DTYMK	0.000	0.000	0.417	0.000
DUOX2	0.000	0.000	0.000	0.000
DUSP1	0.335	0.000	0.417	0.560
DUSP14	0.335	0.642	0.417	0.000
DUSP4	0.000	0.000	0.000	0.000
DUSP6	0.585	1.030	0.000	0.000
DUT	0.785	0.855	1.121	1.559
DUXAP8	0.952	0.000	0.000	0.000
DYRK3	0.952	0.372	0.000	0.000
E2F1	0.000	0.000	0.000	0.000
E2F7	0.000	0.000	0.000	0.000
E2F8	0.000	0.000	0.000	0.000
EBNA1BP2	0.000	0.642	0.000	0.560
ECM1	0.952	1.179	1.819	0.000
ECT2	0.000	0.000	0.000	0.560
EDIL3	0.335	0.000	0.000	0.000
EDNRA	0.000	0.000	0.710	0.000
EDNRB	0.000	0.372	0.417	0.000
EFEMP1	0.000	0.642	0.936	0.000
EFNB2	0.000	0.000	0.000	0.000
EGFLAM	0.000	0.000	0.000	0.000
EGLN3	0.000	0.000	0.000	0.000
EGR1	0.335	0.372	1.974	1.559
EGR2	0.000	0.000	0.417	0.000
EGR3	0.000	0.000	0.000	0.000
EHD4	0.000	0.000	0.000	0.000
EIF1AX	0.585	0.642	1.121	0.917
EIF4E	0.585	0.000	0.417	0.000
EIF5	1.820	0.642	0.710	1.559
EIF5A	0.952	1.179	1.276	1.559
ELFN1	0.000	0.372	0.000	0.000
ELFN2	0.000	0.000	0.000	0.000
ELL2	0.000	0.000	0.000	0.000
ELN	0.000	0.000	0.000	0.000
ELOVL2	0.000	0.000	0.000	0.000
EMB	0.585	1.179	1.276	0.000
EMCN	0.000	0.000	0.936	0.000
EMP1	1.095	0.000	1.636	0.917
EMP2	0.335	0.000	0.710	0.917
EMX2	0.000	0.000	0.000	0.000
ENAH	0.585	0.000	0.710	1.179
ENC1	0.335	0.000	0.000	0.000
ENO1	1.941	0.642	1.636	1.705
ENPP1	0.000	0.000	0.000	0.560
ENPP2	0.335	1.309	1.276	1.179
EPAS1	0.785	0.642	0.000	0.000
EPDR1	0.335	0.642	0.936	0.000
EPHA1-AS1	0.000	0.000	0.000	0.000
EPHA3	0.000	0.000	0.000	0.000
EPHA4	0.000	0.000	0.000	0.000
EPHB1	0.000	0.000	0.000	0.000
EPHB2	0.000	0.000	0.000	0.000
EPS8L1	0.000	0.000	0.000	0.000
EPSTI1	0.335	0.000	0.710	0.917
ERCC6L	0.000	0.000	0.000	0.000
EREG	0.000	0.000	0.000	0.000
ERRFI1	0.000	0.372	0.417	0.000
ERVK9-11	0.000	0.000	0.000	0.000
ESCO2	0.000	0.000	0.000	0.000
ESPL1	0.000	0.000	0.000	0.000
ETV1	0.000	0.000	0.000	0.560
EXO1	0.000	0.000	0.000	0.000
EXOSC8	0.000	0.000	0.000	0.917
EXOSC9	0.000	0.000	0.000	0.000
EYA1	0.000	0.000	0.000	0.000
EYA2	0.000	0.000	0.000	0.000
EYA4	0.000	0.000	0.000	0.000
EZH2	0.335	0.000	0.000	0.000
EZR	0.000	0.000	0.417	0.000
F11R	0.000	0.000	0.000	0.000
F13A1	0.000	0.000	0.000	0.000
F2R	0.000	0.372	0.000	0.917
F3	0.335	0.000	0.000	0.000
FABP3	0.000	0.372	0.417	0.000
FABP4	0.000	0.000	0.000	0.000
FABP5	0.000	0.000	0.417	0.560
FADS1	0.000	0.855	0.000	1.179
FAIM2	0.000	0.000	0.000	0.000
FAM107B	0.000	0.000	0.710	0.000
FAM111A	0.335	0.372	0.417	0.000
FAM111B	0.000	0.000	0.000	0.000
FAM13C	0.335	0.000	0.000	0.000
FAM155A	0.000	0.000	0.000	0.000
FAM180A	0.000	0.000	0.000	0.000
FAM20A	0.585	0.855	1.411	1.387
FAM43A	0.000	0.000	0.936	0.000
FAM72D	0.000	0.000	0.000	0.000
FAM83D	0.335	0.000	0.000	0.000
FAM83F	0.000	0.000	0.000	0.000
FANCA	0.000	0.000	0.000	0.000
FANCD2	0.000	0.000	0.000	0.000
FANCI	0.000	0.000	0.417	0.000
FANCM	0.000	0.000	0.000	0.560
FAP	1.331	1.857	1.819	1.179
FAR2P2	0.000	0.000	0.000	0.000
FARSB	0.335	0.372	0.000	0.000
FBLN1	1.820	1.424	2.108	1.833
FBLN2	0.000	0.372	1.121	0.917
FBLN5	2.049	1.527	1.121	1.179
FBN1	1.820	1.620	1.974	1.559
FBN2	0.000	1.030	0.000	0.000
FBXO32	0.000	0.000	0.000	0.000
FBXO43	0.000	0.000	0.000	0.000
FBXO5	0.000	0.000	0.000	0.000
FCMR	0.335	0.000	0.000	0.000
FDXR	1.431	0.642	0.710	0.000
FEN1	0.000	0.000	0.000	0.000
FERMT1	0.335	0.000	0.000	0.000
