GeneSymbol	A21_05_C3_P5_299466	A21_05_C3_P5_481136	A21_05_C3_P5_652329	A21_05_C3_P5_494412	A21_05_C3_P5_856756	A21_05_C3_P5_678766	A21_05_C3_P5_757592	A21_05_C3_P5_848919	A21_05_C3_P5_634645	A21_05_C3_P5_255703	A21_05_C3_P5_440336	A21_05_C3_P5_371750	A21_05_C3_P5_759161
ADAP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCY1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADCY2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
ADCYAP1R1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADGRG6	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADH1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000
ADH1C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADIRF	0.000	0.000	0.373	0.650	0.000	0.000	0.694	0.000	0.000	0.754	0.000	0.000	0.000
ADM	0.492	1.091	2.214	1.436	1.723	1.395	1.794	2.419	2.030	2.048	2.000	2.425	1.677
ADM2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ADRA2A	0.276	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
AHR	0.276	0.285	0.373	0.000	0.000	0.000	0.406	0.705	0.439	0.000	0.458	0.763	0.000
AIM2	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.439	0.446	0.458	0.000	0.483
AK4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AK5	0.492	0.506	0.000	0.000	0.413	0.000	0.918	0.000	0.439	0.000	0.771	0.000	0.808
AKAP12	0.000	0.000	0.858	0.377	2.099	0.000	0.406	0.000	1.165	0.446	1.201	1.191	1.976
AKAP6	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AKR1B10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AKR1C2	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.446	0.000	0.000	0.000
AL031777.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL109918.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.743	0.000	0.000	0.000	0.000
AL136131.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL139393.3	0.000	0.000	0.000	0.377	0.000	0.699	0.000	0.000	0.439	0.000	0.000	0.000	0.000
AL158063.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL353726.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL353898.3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL356056.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL391056.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL662907.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AL672207.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALCAM	0.670	0.506	0.645	0.000	0.930	0.699	1.100	0.931	0.439	0.754	1.009	0.763	0.000
ALDH1A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALDH1A2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALDH1A3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.446	0.000	0.453	0.000
ALPL	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ALYREF	0.670	0.285	0.858	0.864	0.000	0.000	0.406	0.000	0.000	0.000	0.458	0.000	1.052
AMD1	0.000	0.687	0.373	1.041	0.000	0.000	0.694	0.000	0.000	0.446	0.000	0.000	0.000
AMOTL2	0.670	1.196	0.645	0.000	0.930	0.699	0.406	0.413	1.581	0.446	1.623	1.000	0.808
ANGPT1	1.067	0.285	0.000	0.650	0.413	0.000	0.000	1.404	0.000	0.000	0.458	0.000	0.000
ANGPT2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.458	0.000	0.000
ANGPTL1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANGPTL2	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.976	0.446	0.000	0.000	0.000
ANGPTL4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.052
ANK3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000
ANKH	0.492	0.687	0.000	0.000	0.930	0.409	0.000	0.705	0.000	0.446	0.000	0.000	0.483
ANKRD33	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANKRD36C	0.276	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.453	0.000
ANKRD37	1.351	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANKRD50	0.000	0.000	0.000	0.000	0.705	0.409	0.694	0.000	0.439	0.000	1.009	1.611	0.483
ANLN	0.000	0.000	0.000	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANO1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANO4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANOS1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ANP32B	1.067	0.506	0.645	1.321	1.522	1.956	1.506	0.931	0.000	1.972	1.731	0.453	1.249
ANP32E	0.000	0.506	0.000	0.650	0.413	0.923	0.406	0.705	0.743	1.476	0.000	0.000	0.808
ANTXR1	0.820	0.506	0.373	0.650	0.705	0.409	0.406	0.413	1.165	0.446	0.458	0.000	0.483
ANXA1	1.752	2.223	1.034	1.633	1.269	1.395	1.707	1.404	1.786	1.338	2.000	1.719	1.413
ANXA10	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AP001033.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AP001148.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AP001528.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
APBB1IP	0.276	0.000	0.373	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.000
APCDD1	0.000	0.000	0.373	0.000	0.000	0.409	0.406	0.000	0.439	0.000	0.000	0.000	0.000
APCDD1L	0.276	0.285	0.645	1.190	0.413	0.409	0.694	0.705	0.000	0.000	1.009	0.763	0.483
APOBEC3A	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
APOD	0.276	0.974	0.000	0.377	1.269	0.000	0.000	1.114	0.000	0.989	0.000	0.000	0.483
APOE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
APOL1	0.000	0.285	0.858	0.377	0.930	0.409	0.000	0.000	0.743	0.000	0.458	0.763	0.000
APOL4	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.483
AQP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
AR	0.492	0.285	0.645	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.763	0.000
AREG	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ARHGAP11A	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
ARHGAP18	0.492	0.687	0.000	0.864	1.269	0.699	0.000	0.000	1.461	1.179	0.458	0.453	0.483
ARHGAP20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	1.052
ARHGAP28	0.276	0.000	0.858	0.000	0.000	0.000	0.000	0.000	0.439	0.000	1.009	0.000	0.483
ARHGAP29	0.276	1.196	0.373	0.377	0.000	0.409	1.100	0.413	0.976	0.446	0.458	1.000	0.000
ARHGDIB	0.000	0.285	0.373	0.000	0.000	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ARHGEF39	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ARID4A	0.820	0.285	0.000	0.377	0.000	0.000	0.000	0.705	0.976	0.000	0.000	0.763	0.000
ARID5B	0.670	0.687	0.000	0.377	0.413	1.106	1.100	0.705	1.165	0.754	0.000	0.763	0.000
ARL4C	0.276	0.285	0.000	0.377	1.522	0.699	0.694	0.000	1.461	0.446	0.000	0.000	0.808
ARL6IP1	0.000	0.285	0.373	0.377	0.413	0.000	0.406	0.000	0.976	0.446	0.771	0.000	0.000
ASF1B	0.000	0.000	0.000	0.000	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ASPM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ASPN	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.458	0.000	0.000
ASXL3	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ATAD2	0.000	0.285	0.000	0.000	0.000	0.000	0.406	0.413	0.000	0.446	0.000	0.000	0.808
ATAD3C	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ATAD5	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ATF5	0.000	0.000	0.000	0.000	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.000	0.000
ATP1B1	1.171	0.285	0.000	0.000	0.413	0.699	0.000	0.000	0.000	0.000	0.000	0.000	0.000
ATP5MC1	0.820	1.378	0.373	1.190	0.930	0.923	0.694	0.705	0.439	0.000	1.009	0.453	1.413
ATP8A2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AURKA	0.276	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
AURKB	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
B3GALT2	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.446	0.000	0.000	0.000
B4GALT1	1.503	1.378	2.109	1.539	1.628	1.881	1.100	1.404	1.324	1.597	1.501	2.063	2.135
BAALC	0.000	0.285	0.373	0.650	0.000	0.000	0.406	0.000	0.000	0.000	0.000	0.453	0.000
BACH2	0.276	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BAG2	0.000	0.000	0.373	0.000	0.000	0.699	0.000	0.413	0.000	0.000	0.000	0.453	0.000
BARD1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BASP1	1.265	1.531	2.435	2.362	1.891	1.956	2.677	2.419	2.440	2.118	2.212	2.425	2.059
BBC3	0.276	0.000	0.373	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCAT1	0.951	0.506	1.183	1.190	0.930	1.261	1.612	1.270	1.324	0.989	1.362	1.000	1.249
BCHE	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL11B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL2A1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL2L11	0.492	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL2L12	0.276	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.453	0.000
BCL2L15	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCL6B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCO2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BCYRN1	2.788	2.985	2.616	2.626	1.723	1.714	1.612	1.966	0.000	1.476	2.212	0.000	1.787
BDKRB1	0.000	0.000	0.000	0.377	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BDKRB2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BDNF	0.000	0.285	0.000	0.377	0.000	0.409	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BDP1	0.276	0.285	0.373	0.000	0.413	0.000	0.000	0.705	0.000	0.000	0.458	0.000	0.483
BEND7	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BEX1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BGN	0.951	1.600	1.183	2.318	1.269	0.923	1.794	0.000	1.461	1.597	0.000	1.000	0.000
BHLHE40	0.000	0.285	1.313	0.377	0.413	0.409	0.000	0.000	0.439	0.446	0.000	0.000	0.000
BHLHE41	0.670	0.000	0.373	0.650	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
BIRC5	0.000	0.000	0.000	0.000	0.000	0.699	0.406	0.000	0.000	0.446	0.000	0.000	0.000
BLM	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BMP2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BMP4	0.000	0.000	0.373	0.000	0.413	0.000	0.000	0.413	0.439	0.000	0.458	0.000	0.000
BORA	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRCA1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRCA2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	0.000	0.483
BRD8	0.000	0.000	0.000	0.000	0.930	0.000	0.000	0.000	0.439	0.446	0.458	0.763	0.000
BRI3BP	0.000	0.000	0.000	0.377	0.413	0.409	0.406	0.705	0.000	0.000	0.000	0.000	0.000
BRINP1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRIP1	0.000	0.000	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BRIX1	0.000	0.285	0.000	0.377	0.705	0.000	0.000	0.413	0.000	0.000	0.000	0.000	0.000
BST2	0.000	0.000	0.645	0.000	0.000	0.000	0.000	0.000	0.439	0.000	0.000	1.191	0.000
BTG1	0.000	0.000	0.000	0.377	0.705	1.106	1.100	0.413	0.000	0.000	0.000	0.000	0.000
BTG2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.413	0.743	0.000	0.000	0.000	0.000
BUB1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BUB1B	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BUB3	0.820	0.841	0.645	0.650	0.705	0.699	0.406	0.413	1.165	0.754	0.771	0.000	0.483
BX323043.1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
BX323046.2	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C11orf96	0.000	0.285	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
C12orf75	0.670	0.285	1.034	1.539	0.930	1.395	1.612	1.404	0.439	1.597	1.009	1.000	1.052
C1GALT1	0.276	0.687	0.000	0.000	0.705	0.699	0.406	0.705	0.000	0.000	0.771	0.453	0.000
C1QTNF1	0.000	0.285	0.373	0.650	0.413	0.000	0.000	0.000	0.743	0.000	0.000	0.000	0.000
